year,spl_adjusted,spp_adjusted,price_diff,price_diff_adjusted,percent_increase,percent_increase_adjusted,days_between_sales
2011,108120,297342,-168311,-189222,-62,-64,111
2011,53000,53000,0,0,0,0,4
2011,154919,223568,-57094,-68649,-28,-31,209
2011,280900,155430,123700,125470,88,81,244
2011,481240,264000,214000,217240,89,82,231
2011,266060,272800,3000,-6740,1,-2,101
2011,121794,98112,25707,23682,29,24,118
2011,138860,150395,-5723,-11535,-4,-8,203
2011,328600,233200,90000,95400,41,41,38
2011,192814,178200,19900,14614,12,8,224
2011,143630,121000,25500,22630,23,19,95
2011,116494,155155,-36473,-38661,-25,-25,40
2011,103509,262203,-140716,-158694,-59,-61,327
2011,135150,176968,-33380,-41818,-21,-24,185
2011,115562,247872,-116317,-132310,-52,-53,227
2011,337080,379446,-26951,-42366,-8,-11,209
2011,122430,420218,-266516,-297788,-70,-71,318
2011,207654,137500,70900,70154,57,51,215
2011,795000,495000,300000,300000,67,61,125
2011,189252,232566,-32884,-43314,-16,-19,99
2011,280900,453076,-146887,-172176,-36,-38,277
2011,164300,257929,-79481,-93629,-34,-36,344
2011,482348,123750,342545,358598,304,290,226
2011,95400,187000,-80000,-91600,-47,-49,270
2011,137694,130548,11220,7146,9,5,276
2011,374180,517000,-117000,-142820,-25,-28,255
2011,251750,270901,-8774,-19151,-4,-7,269
2011,1060000,1265000,-150000,-205000,-13,-16,83
2011,69960,134372,-56156,-64412,-46,-48,182
2011,161120,268540,-92127,-107420,-38,-40,209
2011,215339,255956,-29537,-40617,-13,-16,199
2011,122430,261062,-121829,-138632,-51,-53,307
2011,167944,167944,0,0,0,0,6
2011,307400,319000,0,-11600,0,-4,191
2011,148400,118732,32062,29668,30,25,343
2011,167480,278165,-94877,-110685,-38,-40,247
2011,159000,350891,-168992,-191891,-53,-55,206
2011,174900,131450,45500,43450,38,33,240
